workerid,proliferate.condition,fill_num,item,order,response,verb,error
85,condition1,2,Receiving the loan enabled her to buy the house.,40,6,enabled,
85,condition1,1,The crank caused him to open the window.,45,3,caused,
85,condition1,4,The distracting noise affected his performance.,48,6,affected,
85,condition1,3,The cold breeze enabled him to close the window.,55,0,enabled,
62,condition1,1,The crank caused him to open the window.,19,1,caused,
62,condition1,5,The earthquake affected the building to fall.,24,2,affected,
62,condition1,2,Receiving the loan enabled her to buy the house.,38,5,enabled,
62,condition1,0,The lightning strike caused the fire.,41,6,caused,
62,condition1,4,The distracting noise affected his performance.,46,6,affected,
62,condition1,3,The cold breeze enabled him to close the window.,53,3,enabled,
109,condition1,5,The earthquake affected the building to fall.,1,5,affected,
109,condition1,2,Receiving the loan enabled her to buy the house.,10,6,enabled,
109,condition1,4,The distracting noise affected his performance.,15,6,affected,
109,condition1,3,The cold breeze enabled him to close the window.,16,6,enabled,
109,condition1,1,The crank caused him to open the window.,27,6,caused,
109,condition1,0,The lightning strike caused the fire.,33,6,caused,
99,condition1,4,The distracting noise affected his performance.,6,6,affected,
99,condition1,1,The crank caused him to open the window.,22,6,caused,
99,condition1,0,The lightning strike caused the fire.,48,6,caused,
99,condition1,2,Receiving the loan enabled her to buy the house.,56,6,enabled,
99,condition1,5,The earthquake affected the building to fall.,60,0,affected,
99,condition1,3,The cold breeze enabled him to close the window.,64,6,enabled,
105,condition1,4,The distracting noise affected his performance.,8,6,affected,
105,condition1,3,The cold breeze enabled him to close the window.,29,1,enabled,
105,condition1,5,The earthquake affected the building to fall.,45,0,affected,
105,condition1,1,The crank caused him to open the window.,54,2,caused,
105,condition1,0,The lightning strike caused the fire.,55,6,caused,
105,condition1,2,Receiving the loan enabled her to buy the house.,57,6,enabled,
76,condition1,5,The earthquake affected the building to fall.,24,1,affected,
76,condition1,3,The cold breeze enabled him to close the window.,36,1,enabled,
76,condition1,2,Receiving the loan enabled her to buy the house.,45,5,enabled,
76,condition1,4,The distracting noise affected his performance.,51,6,affected,
76,condition1,1,The crank caused him to open the window.,53,5,caused,
76,condition1,0,The lightning strike caused the fire.,56,6,caused,
87,condition1,3,The cold breeze enabled him to close the window.,17,0,enabled,
87,condition1,2,Receiving the loan enabled her to buy the house.,20,6,enabled,
87,condition1,5,The earthquake affected the building to fall.,23,0,affected,
87,condition1,1,The crank caused him to open the window.,31,2,caused,
87,condition1,4,The distracting noise affected his performance.,37,5,affected,
87,condition1,0,The lightning strike caused the fire.,65,6,caused,
104,condition1,2,Receiving the loan enabled her to buy the house.,3,6,enabled,
104,condition1,0,The lightning strike caused the fire.,6,6,caused,
104,condition1,4,The distracting noise affected his performance.,15,6,affected,
104,condition1,1,The crank caused him to open the window.,24,3,caused,
104,condition1,5,The earthquake affected the building to fall.,36,0,affected,
104,condition1,3,The cold breeze enabled him to close the window.,64,0,enabled,
89,condition1,5,The earthquake affected the building to fall.,6,0,affected,
89,condition1,0,The lightning strike caused the fire.,8,6,caused,
89,condition1,2,Receiving the loan enabled her to buy the house.,32,6,enabled,
89,condition1,4,The distracting noise affected his performance.,45,6,affected,
89,condition1,1,The crank caused him to open the window.,48,0,caused,
89,condition1,3,The cold breeze enabled him to close the window.,49,0,enabled,
110,condition1,3,The cold breeze enabled him to close the window.,16,1,enabled,
110,condition1,1,The crank caused him to open the window.,22,0,caused,
110,condition1,2,Receiving the loan enabled her to buy the house.,29,6,enabled,
110,condition1,0,The lightning strike caused the fire.,33,6,caused,
110,condition1,5,The earthquake affected the building to fall.,36,0,affected,
110,condition1,4,The distracting noise affected his performance.,39,6,affected,
63,condition1,3,The cold breeze enabled him to close the window.,27,0,enabled,
63,condition1,0,The lightning strike caused the fire.,33,6,caused,
63,condition1,4,The distracting noise affected his performance.,34,6,affected,
63,condition1,2,Receiving the loan enabled her to buy the house.,42,6,enabled,
63,condition1,5,The earthquake affected the building to fall.,44,0,affected,
63,condition1,1,The crank caused him to open the window.,48,1,caused,
113,condition1,5,The earthquake affected the building to fall.,5,0,affected,
113,condition1,1,The crank caused him to open the window.,10,0,caused,
113,condition1,0,The lightning strike caused the fire.,24,6,caused,
113,condition1,2,Receiving the loan enabled her to buy the house.,25,6,enabled,
113,condition1,3,The cold breeze enabled him to close the window.,50,0,enabled,
113,condition1,4,The distracting noise affected his performance.,64,6,affected,
98,condition1,1,The crank caused him to open the window.,32,6,caused,
98,condition1,4,The distracting noise affected his performance.,40,6,affected,
98,condition1,3,The cold breeze enabled him to close the window.,51,3,enabled,
98,condition1,2,Receiving the loan enabled her to buy the house.,52,6,enabled,
98,condition1,5,The earthquake affected the building to fall.,56,0,affected,
98,condition1,0,The lightning strike caused the fire.,58,6,caused,
96,condition1,2,Receiving the loan enabled her to buy the house.,8,4,enabled,
96,condition1,3,The cold breeze enabled him to close the window.,13,4,enabled,
96,condition1,1,The crank caused him to open the window.,22,6,caused,
96,condition1,4,The distracting noise affected his performance.,34,6,affected,
96,condition1,5,The earthquake affected the building to fall.,48,1,affected,
96,condition1,0,The lightning strike caused the fire.,50,6,caused,
107,condition1,1,The crank caused him to open the window.,3,1,caused,
107,condition1,4,The distracting noise affected his performance.,13,4,affected,
107,condition1,0,The lightning strike caused the fire.,16,6,caused,
107,condition1,5,The earthquake affected the building to fall.,24,3,affected,
107,condition1,3,The cold breeze enabled him to close the window.,28,2,enabled,
107,condition1,2,Receiving the loan enabled her to buy the house.,37,5,enabled,
92,condition1,3,The cold breeze enabled him to close the window.,1,4,enabled,
92,condition1,2,Receiving the loan enabled her to buy the house.,3,6,enabled,
92,condition1,1,The crank caused him to open the window.,29,0,caused,
92,condition1,0,The lightning strike caused the fire.,35,6,caused,
92,condition1,4,The distracting noise affected his performance.,40,6,affected,
92,condition1,5,The earthquake affected the building to fall.,42,0,affected,
81,condition1,3,The cold breeze enabled him to close the window.,7,0,enabled,
81,condition1,0,The lightning strike caused the fire.,43,6,caused,
81,condition1,2,Receiving the loan enabled her to buy the house.,45,6,enabled,
81,condition1,4,The distracting noise affected his performance.,54,6,affected,
81,condition1,5,The earthquake affected the building to fall.,55,0,affected,
81,condition1,1,The crank caused him to open the window.,65,0,caused,
72,condition1,4,The distracting noise affected his performance.,2,6,affected,
72,condition1,0,The lightning strike caused the fire.,6,6,caused,
72,condition1,1,The crank caused him to open the window.,8,0,caused,
72,condition1,2,Receiving the loan enabled her to buy the house.,21,6,enabled,
72,condition1,5,The earthquake affected the building to fall.,50,0,affected,
72,condition1,3,The cold breeze enabled him to close the window.,59,0,enabled,
88,condition1,1,The crank caused him to open the window.,10,3,caused,
88,condition1,2,Receiving the loan enabled her to buy the house.,12,6,enabled,
88,condition1,3,The cold breeze enabled him to close the window.,26,1,enabled,
88,condition1,4,The distracting noise affected his performance.,38,6,affected,
88,condition1,0,The lightning strike caused the fire.,43,6,caused,
88,condition1,5,The earthquake affected the building to fall.,49,1,affected,
77,condition1,0,The lightning strike caused the fire.,6,6,caused,
77,condition1,1,The crank caused him to open the window.,9,6,caused,
77,condition1,2,Receiving the loan enabled her to buy the house.,45,6,enabled,
77,condition1,4,The distracting noise affected his performance.,47,6,affected,
77,condition1,5,The earthquake affected the building to fall.,59,0,affected,
77,condition1,3,The cold breeze enabled him to close the window.,61,0,enabled,
83,condition1,2,Receiving the loan enabled her to buy the house.,12,4,enabled,
83,condition1,5,The earthquake affected the building to fall.,14,0,affected,
83,condition1,1,The crank caused him to open the window.,17,1,caused,
83,condition1,4,The distracting noise affected his performance.,20,6,affected,
83,condition1,3,The cold breeze enabled him to close the window.,27,0,enabled,
83,condition1,0,The lightning strike caused the fire.,33,6,caused,
80,condition1,5,The earthquake affected the building to fall.,4,1,affected,
80,condition1,0,The lightning strike caused the fire.,13,6,caused,
80,condition1,3,The cold breeze enabled him to close the window.,31,6,enabled,
80,condition1,2,Receiving the loan enabled her to buy the house.,38,6,enabled,
80,condition1,4,The distracting noise affected his performance.,46,6,affected,
80,condition1,1,The crank caused him to open the window.,56,6,caused,
108,condition1,1,The crank caused him to open the window.,1,2,caused,
108,condition1,3,The cold breeze enabled him to close the window.,8,0,enabled,
108,condition1,0,The lightning strike caused the fire.,24,6,caused,
108,condition1,5,The earthquake affected the building to fall.,31,0,affected,
108,condition1,2,Receiving the loan enabled her to buy the house.,53,6,enabled,
108,condition1,4,The distracting noise affected his performance.,63,6,affected,
70,condition1,4,The distracting noise affected his performance.,12,6,affected,
70,condition1,2,Receiving the loan enabled her to buy the house.,15,4,enabled,
70,condition1,3,The cold breeze enabled him to close the window.,39,0,enabled,
70,condition1,1,The crank caused him to open the window.,41,0,caused,
70,condition1,5,The earthquake affected the building to fall.,46,1,affected,
70,condition1,0,The lightning strike caused the fire.,52,6,caused,
79,condition1,0,The lightning strike caused the fire.,12,6,caused,
79,condition1,1,The crank caused him to open the window.,14,6,caused,
79,condition1,4,The distracting noise affected his performance.,37,6,affected,
79,condition1,5,The earthquake affected the building to fall.,46,0,affected,
79,condition1,3,The cold breeze enabled him to close the window.,48,6,enabled,
79,condition1,2,Receiving the loan enabled her to buy the house.,55,6,enabled,
106,condition1,2,Receiving the loan enabled her to buy the house.,1,6,enabled,
106,condition1,3,The cold breeze enabled him to close the window.,5,6,enabled,
106,condition1,1,The crank caused him to open the window.,36,6,caused,
106,condition1,0,The lightning strike caused the fire.,41,6,caused,
106,condition1,4,The distracting noise affected his performance.,52,6,affected,
106,condition1,5,The earthquake affected the building to fall.,53,0,affected,
114,condition1,1,The crank caused him to open the window.,3,2,caused,
114,condition1,0,The lightning strike caused the fire.,8,6,caused,
114,condition1,3,The cold breeze enabled him to close the window.,11,3,enabled,
114,condition1,5,The earthquake affected the building to fall.,38,3,affected,
114,condition1,2,Receiving the loan enabled her to buy the house.,57,5,enabled,
114,condition1,4,The distracting noise affected his performance.,63,6,affected,
103,condition1,0,The lightning strike caused the fire.,5,6,caused,
103,condition1,2,Receiving the loan enabled her to buy the house.,9,6,enabled,
103,condition1,3,The cold breeze enabled him to close the window.,12,1,enabled,
103,condition1,1,The crank caused him to open the window.,14,3,caused,
103,condition1,5,The earthquake affected the building to fall.,42,0,affected,
103,condition1,4,The distracting noise affected his performance.,56,6,affected,
60,condition1,2,Receiving the loan enabled her to buy the house.,7,6,enabled,
60,condition1,0,The lightning strike caused the fire.,9,6,caused,
60,condition1,3,The cold breeze enabled him to close the window.,14,2,enabled,
60,condition1,4,The distracting noise affected his performance.,42,6,affected,
60,condition1,1,The crank caused him to open the window.,55,5,caused,
60,condition1,5,The earthquake affected the building to fall.,57,1,affected,
90,condition1,1,The crank caused him to open the window.,16,4,caused,
90,condition1,4,The distracting noise affected his performance.,35,4,affected,
90,condition1,3,The cold breeze enabled him to close the window.,49,0,enabled,
90,condition1,5,The earthquake affected the building to fall.,51,5,affected,
90,condition1,0,The lightning strike caused the fire.,53,6,caused,
90,condition1,2,Receiving the loan enabled her to buy the house.,65,5,enabled,
84,condition1,2,Receiving the loan enabled her to buy the house.,18,6,enabled,
84,condition1,4,The distracting noise affected his performance.,22,6,affected,
84,condition1,5,The earthquake affected the building to fall.,25,0,affected,
84,condition1,3,The cold breeze enabled him to close the window.,29,6,enabled,
84,condition1,0,The lightning strike caused the fire.,49,6,caused,
84,condition1,1,The crank caused him to open the window.,51,6,caused,
58,condition1,3,The cold breeze enabled him to close the window.,13,3,enabled,
58,condition1,1,The crank caused him to open the window.,34,4,caused,
58,condition1,4,The distracting noise affected his performance.,35,5,affected,
58,condition1,2,Receiving the loan enabled her to buy the house.,54,6,enabled,
58,condition1,5,The earthquake affected the building to fall.,57,3,affected,
58,condition1,0,The lightning strike caused the fire.,63,6,caused,
