workerid,proliferate.condition,frame,item,order,response,verb1,verb2,error
67,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it caused it.",34,3,affected,caused,
67,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it affected it.",35,1,enabled,affected,
67,condition1,8,"Diversification enabled new monetary policies, in fact it caused them.",36,0,enabled,caused,
67,condition1,1,"The CEO's decision affected the outcome, in fact it enabled it.",38,1,affected,enabled,
67,condition1,7,"Metastasis enabled cell growth, in fact it affected it.",39,1,enabled,affected,
67,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it caused it.",40,1,affected,caused,
67,condition1,7,"Metastasis affected cell growth, in fact it enabled it.",41,1,affected,enabled,
67,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it affected it.",42,1,caused,affected,
67,condition1,2,"The new technology enabled the change, in fact it affected it.",43,1,enabled,affected,
67,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it caused it.",44,1,enabled,caused,
67,condition1,6,"The sun caused the drying of the clothes, in fact it affected it.",45,1,caused,affected,
67,condition1,5,"More stipends enabled the increase in student admissions, in fact they caused it.",47,0,enabled,caused,
67,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it enabled it.",48,1,caused,enabled,
67,condition1,8,"Diversification caused new monetary policies, in fact it enabled them.",49,1,caused,enabled,
67,condition1,6,"The sun caused the drying of the clothes, in fact it enabled it.",50,1,caused,enabled,
67,condition1,6,"The sun affected the drying of the clothes, in fact it enabled it.",51,1,affected,enabled,
67,condition1,8,"Diversification affected new monetary policies, in fact it enabled them.",52,1,affected,enabled,
67,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it caused it.",53,0,enabled,caused,
67,condition1,5,"More stipends caused the increase in student admissions, in fact they enabled it.",54,1,caused,enabled,
67,condition1,8,"Diversification affected new monetary policies, in fact it caused them.",55,1,affected,caused,
67,condition1,6,"The sun enabled the drying of the clothes, in fact it affected it.",56,1,enabled,affected,
67,condition1,0,"The dry weather affected the wild fire, in fact it caused it.",57,3,affected,caused,
67,condition1,0,"The dry weather caused the wild fire, in fact it affected it.",58,1,caused,affected,
67,condition1,5,"More stipends affected the increase in student admissions, in fact they enabled it.",59,4,affected,enabled,
67,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it affected it.",60,1,enabled,affected,
67,condition1,7,"Metastasis caused cell growth, in fact it enabled it.",61,3,caused,enabled,
67,condition1,4,"The sunny weather affected the tree's growth, in fact it enabled it.",62,1,affected,enabled,
67,condition1,1,"The CEO's decision enabled the outcome, in fact it caused it.",63,1,enabled,caused,
67,condition1,5,"More stipends affected the increase in student admissions, in fact they caused it.",64,1,affected,caused,
67,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it affected it.",65,1,caused,affected,
75,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it caused it.",1,5,enabled,caused,
75,condition1,8,"Diversification affected new monetary policies, in fact it caused them.",2,3,affected,caused,
75,condition1,0,"The dry weather caused the wild fire, in fact it enabled it.",3,0,caused,enabled,
75,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it affected it.",4,0,enabled,affected,
75,condition1,7,"Metastasis affected cell growth, in fact it enabled it.",5,4,affected,enabled,
75,condition1,4,"The sunny weather enabled the tree's growth, in fact it caused it.",6,4,enabled,caused,
75,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it enabled it.",7,2,affected,enabled,
75,condition1,2,"The new technology affected the change, in fact it enabled it.",8,4,affected,enabled,
75,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it caused it.",9,4,affected,caused,
75,condition1,0,"The dry weather enabled the wild fire, in fact it affected it.",10,0,enabled,affected,
75,condition1,5,"More stipends caused the increase in student admissions, in fact they enabled it.",11,0,caused,enabled,
75,condition1,5,"More stipends enabled the increase in student admissions, in fact they affected it.",12,0,enabled,affected,
75,condition1,0,"The dry weather enabled the wild fire, in fact it caused it.",13,6,enabled,caused,
75,condition1,7,"Metastasis enabled cell growth, in fact it affected it.",14,0,enabled,affected,
75,condition1,5,"More stipends enabled the increase in student admissions, in fact they caused it.",15,6,enabled,caused,
75,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it affected it.",16,0,caused,affected,
75,condition1,8,"Diversification enabled new monetary policies, in fact it caused them.",17,5,enabled,caused,
75,condition1,7,"Metastasis affected cell growth, in fact it caused it.",18,6,affected,caused,
75,condition1,1,"The CEO's decision enabled the outcome, in fact it affected it.",19,0,enabled,affected,
75,condition1,7,"Metastasis caused cell growth, in fact it affected it.",20,0,caused,affected,
75,condition1,4,"The sunny weather caused the tree's growth, in fact it enabled it.",21,0,caused,enabled,
75,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it affected it.",22,0,caused,affected,
75,condition1,0,"The dry weather affected the wild fire, in fact it caused it.",23,6,affected,caused,
75,condition1,2,"The new technology caused the change, in fact it affected it.",25,0,caused,affected,
75,condition1,2,"The new technology caused the change, in fact it enabled it.",26,1,caused,enabled,
75,condition1,6,"The sun affected the drying of the clothes, in fact it caused it.",27,6,affected,caused,
75,condition1,0,"The dry weather affected the wild fire, in fact it enabled it.",28,4,affected,enabled,
75,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it enabled it.",30,0,caused,enabled,
75,condition1,1,"The CEO's decision affected the outcome, in fact it enabled it.",31,5,affected,enabled,
75,condition1,5,"More stipends caused the increase in student admissions, in fact they affected it.",32,0,caused,affected,
75,condition1,4,"The sunny weather enabled the tree's growth, in fact it affected it.",33,0,enabled,affected,
75,condition1,6,"The sun caused the drying of the clothes, in fact it enabled it.",34,0,caused,enabled,
75,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it caused it.",35,6,affected,caused,
75,condition1,4,"The sunny weather affected the tree's growth, in fact it enabled it.",37,5,affected,enabled,
75,condition1,6,"The sun caused the drying of the clothes, in fact it affected it.",38,0,caused,affected,
75,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it caused it.",39,1,enabled,caused,
75,condition1,2,"The new technology enabled the change, in fact it affected it.",40,0,enabled,affected,
75,condition1,6,"The sun enabled the drying of the clothes, in fact it affected it.",41,0,enabled,affected,
75,condition1,7,"Metastasis enabled cell growth, in fact it caused it.",42,4,enabled,caused,
75,condition1,8,"Diversification enabled new monetary policies, in fact it affected them.",43,0,enabled,affected,
75,condition1,1,"The CEO's decision enabled the outcome, in fact it caused it.",44,4,enabled,caused,
75,condition1,7,"Metastasis caused cell growth, in fact it enabled it.",45,0,caused,enabled,
75,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it enabled it.",46,0,caused,enabled,
75,condition1,4,"The sunny weather caused the tree's growth, in fact it affected it.",47,0,caused,affected,
75,condition1,1,"The CEO's decision caused the outcome, in fact it enabled it.",48,0,caused,enabled,
75,condition1,8,"Diversification caused new monetary policies, in fact it affected them.",49,0,caused,affected,
75,condition1,8,"Diversification affected new monetary policies, in fact it enabled them.",50,6,affected,enabled,
75,condition1,1,"The CEO's decision caused the outcome, in fact it affected it.",51,0,caused,affected,
75,condition1,0,"The dry weather caused the wild fire, in fact it affected it.",52,0,caused,affected,
75,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it enabled it.",54,0,affected,enabled,
75,condition1,1,"The CEO's decision affected the outcome, in fact it caused it.",55,6,affected,caused,
75,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it affected it.",56,0,enabled,affected,
75,condition1,8,"Diversification caused new monetary policies, in fact it enabled them.",58,0,caused,enabled,
75,condition1,6,"The sun affected the drying of the clothes, in fact it enabled it.",59,5,affected,enabled,
75,condition1,5,"More stipends affected the increase in student admissions, in fact they caused it.",60,6,affected,caused,
75,condition1,5,"More stipends affected the increase in student admissions, in fact they enabled it.",61,2,affected,enabled,
75,condition1,2,"The new technology affected the change, in fact it caused it.",62,6,affected,caused,
75,condition1,2,"The new technology enabled the change, in fact it caused it.",63,0,enabled,caused,
75,condition1,4,"The sunny weather affected the tree's growth, in fact it caused it.",64,6,affected,caused,
75,condition1,6,"The sun enabled the drying of the clothes, in fact it caused it.",65,5,enabled,caused,
64,condition1,8,"Diversification enabled new monetary policies, in fact it caused them.",0,1,enabled,caused,
64,condition1,6,"The sun caused the drying of the clothes, in fact it affected it.",1,4,caused,affected,
64,condition1,7,"Metastasis affected cell growth, in fact it caused it.",2,6,affected,caused,
64,condition1,6,"The sun affected the drying of the clothes, in fact it enabled it.",3,0,affected,enabled,
64,condition1,8,"Diversification caused new monetary policies, in fact it enabled them.",5,1,caused,enabled,
64,condition1,8,"Diversification enabled new monetary policies, in fact it affected them.",6,5,enabled,affected,
64,condition1,0,"The dry weather affected the wild fire, in fact it enabled it.",7,1,affected,enabled,
64,condition1,6,"The sun enabled the drying of the clothes, in fact it affected it.",8,2,enabled,affected,
64,condition1,5,"More stipends enabled the increase in student admissions, in fact they caused it.",9,6,enabled,caused,
64,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it enabled it.",10,1,caused,enabled,
64,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it affected it.",11,6,caused,affected,
64,condition1,2,"The new technology enabled the change, in fact it caused it.",12,6,enabled,caused,
64,condition1,2,"The new technology affected the change, in fact it caused it.",13,4,affected,caused,
64,condition1,2,"The new technology affected the change, in fact it enabled it.",14,2,affected,enabled,
64,condition1,5,"More stipends enabled the increase in student admissions, in fact they affected it.",15,5,enabled,affected,
64,condition1,4,"The sunny weather enabled the tree's growth, in fact it affected it.",16,5,enabled,affected,
64,condition1,0,"The dry weather caused the wild fire, in fact it affected it.",17,6,caused,affected,
64,condition1,4,"The sunny weather affected the tree's growth, in fact it enabled it.",18,2,affected,enabled,
64,condition1,2,"The new technology caused the change, in fact it enabled it.",19,2,caused,enabled,
64,condition1,4,"The sunny weather caused the tree's growth, in fact it enabled it.",20,2,caused,enabled,
64,condition1,8,"Diversification affected new monetary policies, in fact it enabled them.",21,3,affected,enabled,
64,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it affected it.",22,6,enabled,affected,
64,condition1,7,"Metastasis caused cell growth, in fact it enabled it.",23,3,caused,enabled,
64,condition1,4,"The sunny weather enabled the tree's growth, in fact it caused it.",24,6,enabled,caused,
64,condition1,5,"More stipends caused the increase in student admissions, in fact they enabled it.",25,1,caused,enabled,
64,condition1,5,"More stipends caused the increase in student admissions, in fact they affected it.",27,4,caused,affected,
64,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it affected it.",29,5,caused,affected,
64,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it caused it.",30,6,enabled,caused,
64,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it enabled it.",31,0,affected,enabled,
64,condition1,4,"The sunny weather caused the tree's growth, in fact it affected it.",32,5,caused,affected,
64,condition1,0,"The dry weather enabled the wild fire, in fact it affected it.",33,5,enabled,affected,
64,condition1,4,"The sunny weather affected the tree's growth, in fact it caused it.",34,6,affected,caused,
64,condition1,0,"The dry weather caused the wild fire, in fact it enabled it.",35,2,caused,enabled,
64,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it caused it.",36,6,affected,caused,
64,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it enabled it.",37,3,caused,enabled,
64,condition1,0,"The dry weather affected the wild fire, in fact it caused it.",39,6,affected,caused,
64,condition1,2,"The new technology enabled the change, in fact it affected it.",41,5,enabled,affected,
64,condition1,6,"The sun enabled the drying of the clothes, in fact it caused it.",42,6,enabled,caused,
64,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it affected it.",44,6,enabled,affected,
64,condition1,5,"More stipends affected the increase in student admissions, in fact they enabled it.",45,1,affected,enabled,
64,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it enabled it.",46,4,affected,enabled,
64,condition1,5,"More stipends affected the increase in student admissions, in fact they caused it.",47,6,affected,caused,
64,condition1,1,"The CEO's decision affected the outcome, in fact it caused it.",48,6,affected,caused,
64,condition1,1,"The CEO's decision affected the outcome, in fact it enabled it.",49,2,affected,enabled,
64,condition1,1,"The CEO's decision enabled the outcome, in fact it caused it.",50,6,enabled,caused,
64,condition1,1,"The CEO's decision enabled the outcome, in fact it affected it.",51,5,enabled,affected,
64,condition1,1,"The CEO's decision caused the outcome, in fact it enabled it.",52,2,caused,enabled,
64,condition1,8,"Diversification affected new monetary policies, in fact it caused them.",53,5,affected,caused,
64,condition1,7,"Metastasis enabled cell growth, in fact it affected it.",54,6,enabled,affected,
64,condition1,6,"The sun caused the drying of the clothes, in fact it enabled it.",55,1,caused,enabled,
64,condition1,6,"The sun affected the drying of the clothes, in fact it caused it.",56,5,affected,caused,
64,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it caused it.",57,6,enabled,caused,
64,condition1,7,"Metastasis caused cell growth, in fact it affected it.",58,5,caused,affected,
64,condition1,2,"The new technology caused the change, in fact it affected it.",59,6,caused,affected,
64,condition1,7,"Metastasis enabled cell growth, in fact it caused it.",60,6,enabled,caused,
64,condition1,1,"The CEO's decision caused the outcome, in fact it affected it.",61,6,caused,affected,
64,condition1,0,"The dry weather enabled the wild fire, in fact it caused it.",62,6,enabled,caused,
64,condition1,7,"Metastasis affected cell growth, in fact it enabled it.",63,1,affected,enabled,
64,condition1,8,"Diversification caused new monetary policies, in fact it affected them.",64,5,caused,affected,
64,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it caused it.",65,6,affected,caused,
86,condition1,2,"The new technology affected the change, in fact it caused it.",0,5,affected,caused,
86,condition1,6,"The sun enabled the drying of the clothes, in fact it affected it.",1,5,enabled,affected,
86,condition1,2,"The new technology caused the change, in fact it enabled it.",2,4,caused,enabled,
86,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it affected it.",3,4,caused,affected,
86,condition1,7,"Metastasis enabled cell growth, in fact it affected it.",4,4,enabled,affected,
86,condition1,1,"The CEO's decision caused the outcome, in fact it enabled it.",5,4,caused,enabled,
86,condition1,7,"Metastasis affected cell growth, in fact it enabled it.",6,5,affected,enabled,
86,condition1,0,"The dry weather caused the wild fire, in fact it enabled it.",7,5,caused,enabled,
86,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it caused it.",8,5,affected,caused,
86,condition1,2,"The new technology enabled the change, in fact it caused it.",9,5,enabled,caused,
86,condition1,1,"The CEO's decision affected the outcome, in fact it enabled it.",10,5,affected,enabled,
86,condition1,5,"More stipends enabled the increase in student admissions, in fact they affected it.",11,4,enabled,affected,
86,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it affected it.",12,4,enabled,affected,
86,condition1,5,"More stipends caused the increase in student admissions, in fact they enabled it.",13,4,caused,enabled,
86,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it affected it.",14,4,caused,affected,
86,condition1,5,"More stipends affected the increase in student admissions, in fact they enabled it.",15,5,affected,enabled,
86,condition1,0,"The dry weather enabled the wild fire, in fact it caused it.",16,5,enabled,caused,
86,condition1,1,"The CEO's decision caused the outcome, in fact it affected it.",17,4,caused,affected,
86,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it enabled it.",21,6,affected,enabled,
86,condition1,2,"The new technology caused the change, in fact it affected it.",22,4,caused,affected,
86,condition1,1,"The CEO's decision enabled the outcome, in fact it affected it.",23,4,enabled,affected,
86,condition1,8,"Diversification enabled new monetary policies, in fact it caused them.",24,5,enabled,caused,
86,condition1,8,"Diversification enabled new monetary policies, in fact it affected them.",25,4,enabled,affected,
86,condition1,6,"The sun caused the drying of the clothes, in fact it affected it.",26,4,caused,affected,
86,condition1,8,"Diversification affected new monetary policies, in fact it enabled them.",27,5,affected,enabled,
86,condition1,9,"The algae buildup in the ocean caused the migration of certain species of fish, in fact it enabled it.",28,3,caused,enabled,
86,condition1,0,"The dry weather caused the wild fire, in fact it affected it.",29,3,caused,affected,
86,condition1,8,"Diversification affected new monetary policies, in fact it caused them.",30,5,affected,caused,
86,condition1,4,"The sunny weather enabled the tree's growth, in fact it caused it.",31,4,enabled,caused,
86,condition1,4,"The sunny weather affected the tree's growth, in fact it enabled it.",32,5,affected,enabled,
86,condition1,8,"Diversification caused new monetary policies, in fact it affected them.",33,4,caused,affected,
86,condition1,6,"The sun affected the drying of the clothes, in fact it caused it.",34,5,affected,caused,
86,condition1,2,"The new technology enabled the change, in fact it affected it.",35,4,enabled,affected,
86,condition1,1,"The CEO's decision enabled the outcome, in fact it caused it.",36,5,enabled,caused,
86,condition1,5,"More stipends affected the increase in student admissions, in fact they caused it.",37,5,affected,caused,
86,condition1,4,"The sunny weather caused the tree's growth, in fact it enabled it.",38,4,caused,enabled,
86,condition1,4,"The sunny weather caused the tree's growth, in fact it affected it.",39,4,caused,affected,
86,condition1,5,"More stipends caused the increase in student admissions, in fact they affected it.",40,4,caused,affected,
86,condition1,6,"The sun caused the drying of the clothes, in fact it enabled it.",41,4,caused,enabled,
86,condition1,0,"The dry weather affected the wild fire, in fact it caused it.",42,5,affected,caused,
86,condition1,3,"The Sacklers' greed affected the opioid epidemic, in fact it caused it.",43,6,affected,caused,
86,condition1,7,"Metastasis caused cell growth, in fact it enabled it.",44,3,caused,enabled,
86,condition1,0,"The dry weather affected the wild fire, in fact it enabled it.",45,5,affected,enabled,
86,condition1,1,"The CEO's decision affected the outcome, in fact it caused it.",46,5,affected,caused,
86,condition1,3,"The Sacklers' greed caused the opioid epidemic, in fact it enabled it.",47,4,caused,enabled,
86,condition1,7,"Metastasis caused cell growth, in fact it affected it.",48,3,caused,affected,
86,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it caused it.",49,6,enabled,caused,
86,condition1,7,"Metastasis affected cell growth, in fact it caused it.",50,5,affected,caused,
86,condition1,3,"The Sacklers' greed enabled the opioid epidemic, in fact it affected it.",51,2,enabled,affected,
86,condition1,4,"The sunny weather affected the tree's growth, in fact it caused it.",52,5,affected,caused,
86,condition1,7,"Metastasis enabled cell growth, in fact it caused it.",54,6,enabled,caused,
86,condition1,9,"The algae buildup in the ocean affected the migration of certain species of fish, in fact it enabled it.",55,5,affected,enabled,
86,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it caused it.",56,6,enabled,caused,
86,condition1,5,"More stipends enabled the increase in student admissions, in fact they caused it.",57,5,enabled,caused,
86,condition1,6,"The sun enabled the drying of the clothes, in fact it caused it.",59,5,enabled,caused,
86,condition1,8,"Diversification caused new monetary policies, in fact it enabled them.",61,3,caused,enabled,
86,condition1,4,"The sunny weather enabled the tree's growth, in fact it affected it.",62,3,enabled,affected,
86,condition1,6,"The sun affected the drying of the clothes, in fact it enabled it.",63,4,affected,enabled,
86,condition1,0,"The dry weather enabled the wild fire, in fact it affected it.",64,2,enabled,affected,
86,condition1,2,"The new technology affected the change, in fact it enabled it.",65,4,affected,enabled,
100,condition1,4,"The sunny weather affected the tree's growth, in fact it enabled it.",0,6,affected,enabled,
100,condition1,1,"The CEO's decision enabled the outcome, in fact it caused it.",1,3,enabled,caused,
100,condition1,1,"The CEO's decision enabled the outcome, in fact it affected it.",2,6,enabled,affected,
100,condition1,4,"The sunny weather caused the tree's growth, in fact it enabled it.",3,4,caused,enabled,
100,condition1,0,"The dry weather caused the wild fire, in fact it affected it.",5,1,caused,affected,
100,condition1,9,"The algae buildup in the ocean enabled the migration of certain species of fish, in fact it affected it.",6,3,enabled,affected,
100,condition1,5,"More stipends caused the increase in student admissions, in fact they enabled it.",7,1,caused,enabled,
