workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
85,condition1,22,Non-Hispanic,,Male,White,
62,condition1,21,Non-Hispanic,"Some things sound better in a specific  order. Also, the more time this took, the more I realized I don't truly know the meaning of these words to the extent I thought. ",Female,White,
109,condition1,26,Non-Hispanic,How the sentence sounded to me in my head influenced how I responded. ,Male,White,
99,condition1,31,Non-Hispanic,I responded based on how the sentence sounded to me. I have no additional comments. ,Male,White,
105,condition1,52,Non-Hispanic,whether it sounded right spoken.,Female,White,
76,condition1,23,Non-Hispanic,"Part of it was just if it sounded right, but also it was thinking about the meaning of the word, like if it caused it, that's kind of an end all be all, so if you already said it was the reason for something, saying it enabled or affected it is in a sense redundant.Whereas if you say something affected something and then add detail by saying it caused it or enabled it, you are explaining the degree it affected/the direction it affected.",Female,White,
87,condition1,21,Non-Hispanic,im not an english major idk,Male,White,
104,condition1,40,Non-Hispanic,,Female,White,
89,condition1,43,Non-Hispanic,relationships of the words and which ones came before or after,Male,White,
110,condition1,42,Non-Hispanic,I tried to imagine each key word occupying a certain place in the sentence. I also tried to imagine the single sentence as two sentences.,Male,other_race,
63,condition1,23,Non-Hispanic,,Female,White,
113,condition1,43,Non-Hispanic,I just decided if it made sense in context.,Female,White,
98,condition1,30,Non-Hispanic,,Female,Black/African American,
96,condition1,22,Non-Hispanic,Reading it out loud,Female,White,
107,condition1,48,,,Male,White,
92,condition1,24,Non-Hispanic,,Male,Asian,
81,condition1,46,Non-Hispanic,I think I responded to how I felt reading the sentences and if it made sense to me at the time.,Male,White,
72,condition1,35,Hispanic,,Female,other_race,
88,condition1,27,Non-Hispanic,"Mostly I was going by feel, but I'm also aware of why I feel like some of the sentences sounded weird. If you're going to add an ""in fact"" statement, you have to expand upon the initial idea so the second verb inherently needs to be more extreme/definitive/specific than the first one.",Female,White,
77,condition1,66,Non-Hispanic,I used my gut feeling.,Female,White,
83,condition1,35,Non-Hispanic,Many of these I second guessed myself so I'm sure my first choice was the correct answer.,Female,White,
80,condition1,29,Non-Hispanic,Places of affected vs cause,Male,White,
108,condition1,36,Hispanic,All of these sentences were structured so strangely.,Female,White,
70,condition1,62,Non-Hispanic,well affect is a verb and effect is a noun so i did my best to decipher this crap,Male,White,
79,condition1,31,Non-Hispanic,,Male,Black/African American,
106,condition1,32,Non-Hispanic,None,Female,White,
114,condition1,19,Hispanic,"I realize that I had a hierarchy least to most sway where it was 1. Caused, 2.Enabled, and 3. Affected. So a sentence could be 3 then 1 or 2, or 2 then 1 and sound fine but it couldn't be 1 then 2 or 3 or 2 then 3.",Non-binary,other_race,
103,condition1,31,Non-Hispanic,"I tried to see if it made sense as I read it. After awhile I started getting confused, words sounded different than usual.",Female,White,
60,condition1,26,Hispanic,"Sometimes it was hard to keep track of the constituents, so if it made it harder I thought it was a lot less acceptable. There was also cases where it seemed redundant so I also marked those as less acceptable.",Male,other_race,
90,condition1,60,Non-Hispanic,,Female,Black/African American,
84,condition1,31,Non-Hispanic,,Female,White,
58,condition1,23,Non-Hispanic,I read the questions out loud and decided if it sounded correct,Male,,
