workerid,proliferate.condition,frame,item,order,response,verb,error
55,condition1,8,Janelle's working hard caused her success.,31,0,caused,
55,condition1,9,The new traffic signs affected the decrease in fatalities.,32,6,affected,
55,condition1,8,Janelle's working hard enabled her success.,33,0,enabled,
55,condition1,0,The collapse of Lehman Brothers caused the financial crisis.,34,6,caused,
55,condition1,9,The new traffic signs enabled the decrease in fatalities.,37,6,enabled,
55,condition1,3,The new technology affected the change.,38,6,affected,
55,condition1,1,The dry weather caused the wild fire.,39,6,caused,
55,condition1,15,Metastasis affected cell growth.,40,6,affected,
55,condition1,9,The new traffic signs caused the decrease in fatalities.,41,6,caused,
55,condition1,11,Turning off the life support caused the patient's death.,42,6,caused,
55,condition1,13,The sun caused the drying of the clothes.,43,1,caused,
55,condition1,12,More stipends affected the increase in student admissions.,44,6,affected,
55,condition1,2,The CEO's decision caused the outcome.,45,6,caused,
55,condition1,4,The zoning restrictions affected the housing shortage.,46,6,affected,
55,condition1,6,The sunny weather affected the tree's growth.,47,6,affected,
55,condition1,11,Turning off the life support affected the patient's death.,48,6,affected,
55,condition1,17,Erosion affected density loss.,49,6,affected,
55,condition1,11,Turning off the life support enabled the patient's death.,50,6,enabled,
55,condition1,3,The new technology enabled the change.,51,6,enabled,
55,condition1,18,The algae buildup in the ocean affected the migration of certain species of fish.,52,6,affected,
55,condition1,5,The Sacklers' greed affected the opioid epidemic.,54,5,affected,
55,condition1,16,Diversification enabled new monetary policies.,55,6,enabled,
55,condition1,14,Deforestation enabled wildlife displacement.,56,6,enabled,
55,condition1,1,The dry weather affected the wild fire.,57,6,affected,
55,condition1,15,Metastasis caused cell growth.,58,6,caused,
55,condition1,18,The algae buildup in the ocean enabled the migration of certain species of fish.,59,6,enabled,
55,condition1,6,The sunny weather caused the tree's growth.,60,6,caused,
55,condition1,2,The CEO's decision affected the outcome.,61,6,affected,
55,condition1,2,The CEO's decision enabled the outcome.,62,6,enabled,
55,condition1,19,The construction at the intersection caused the traffic in the vicinity.,63,6,caused,
55,condition1,19,The construction at the intersection enabled the traffic in the vicinity.,64,6,enabled,
55,condition1,7,The breaking of the dam caused the flood.,65,1,caused,
17,condition1,8,Janelle's working hard caused her success.,0,4,caused,
17,condition1,18,The algae buildup in the ocean affected the migration of certain species of fish.,1,6,affected,
17,condition1,13,The sun caused the drying of the clothes.,2,4,caused,
17,condition1,5,The Sacklers' greed affected the opioid epidemic.,3,6,affected,
17,condition1,0,The collapse of Lehman Brothers caused the financial crisis.,4,6,caused,
17,condition1,0,The collapse of Lehman Brothers affected the financial crisis.,5,5,affected,
17,condition1,2,The CEO's decision caused the outcome.,6,3,caused,
17,condition1,12,More stipends caused the increase in student admissions.,7,4,caused,
17,condition1,12,More stipends affected the increase in student admissions.,8,5,affected,
17,condition1,16,Diversification enabled new monetary policies.,9,6,enabled,
17,condition1,11,Turning off the life support affected the patient's death.,10,1,affected,
17,condition1,1,The dry weather enabled the wild fire.,11,6,enabled,
17,condition1,3,The new technology affected the change.,12,5,affected,
17,condition1,7,The breaking of the dam enabled the flood.,13,2,enabled,
17,condition1,7,The breaking of the dam affected the flood.,14,4,affected,
17,condition1,19,The construction at the intersection caused the traffic in the vicinity.,15,6,caused,
17,condition1,8,Janelle's working hard enabled her success.,18,5,enabled,
17,condition1,7,The breaking of the dam caused the flood.,19,6,caused,
17,condition1,17,Erosion affected density loss.,20,2,affected,
17,condition1,15,Metastasis affected cell growth.,22,4,affected,
17,condition1,10,The striker deflecting the ball affected the goal.,23,0,affected,
17,condition1,16,Diversification caused new monetary policies.,24,1,caused,
17,condition1,2,The CEO's decision affected the outcome.,25,5,affected,
17,condition1,2,The CEO's decision enabled the outcome.,27,5,enabled,
17,condition1,6,The sunny weather caused the tree's growth.,28,4,caused,
17,condition1,8,Janelle's working hard affected her success.,29,5,affected,
17,condition1,17,Erosion caused density loss.,30,6,caused,
17,condition1,13,The sun affected the drying of the clothes.,31,3,affected,
17,condition1,18,The algae buildup in the ocean enabled the migration of certain species of fish.,32,3,enabled,
17,condition1,6,The sunny weather affected the tree's growth.,33,5,affected,
17,condition1,14,Deforestation affected wildlife displacement.,34,4,affected,
17,condition1,14,Deforestation caused wildlife displacement.,35,6,caused,
17,condition1,15,Metastasis enabled cell growth.,36,3,enabled,
17,condition1,19,The construction at the intersection enabled the traffic in the vicinity.,37,1,enabled,
17,condition1,9,The new traffic signs enabled the decrease in fatalities.,38,4,enabled,
17,condition1,18,The algae buildup in the ocean caused the migration of certain species of fish.,39,6,caused,
17,condition1,16,Diversification affected new monetary policies.,40,4,affected,
17,condition1,3,The new technology enabled the change.,41,6,enabled,
17,condition1,14,Deforestation enabled wildlife displacement.,42,1,enabled,
17,condition1,15,Metastasis caused cell growth.,43,6,caused,
17,condition1,5,The Sacklers' greed caused the opioid epidemic.,44,6,caused,
17,condition1,19,The construction at the intersection affected the traffic in the vicinity.,45,5,affected,
17,condition1,10,The striker deflecting the ball caused the goal.,46,5,caused,
17,condition1,1,The dry weather affected the wild fire.,47,4,affected,
17,condition1,3,The new technology caused the change.,48,5,caused,
17,condition1,4,The zoning restrictions enabled the housing shortage.,49,0,enabled,
17,condition1,1,The dry weather caused the wild fire.,50,5,caused,
17,condition1,13,The sun enabled the drying of the clothes.,51,4,enabled,
17,condition1,9,The new traffic signs caused the decrease in fatalities.,52,4,caused,
17,condition1,17,Erosion enabled density loss.,53,4,enabled,
17,condition1,11,Turning off the life support enabled the patient's death.,54,3,enabled,
17,condition1,4,The zoning restrictions caused the housing shortage.,55,5,caused,
17,condition1,6,The sunny weather enabled the tree's growth.,56,5,enabled,
17,condition1,4,The zoning restrictions affected the housing shortage.,58,5,affected,
17,condition1,12,More stipends enabled the increase in student admissions.,59,5,enabled,
17,condition1,9,The new traffic signs affected the decrease in fatalities.,60,6,affected,
17,condition1,0,The collapse of Lehman Brothers enabled the financial crisis.,61,3,enabled,
17,condition1,5,The Sacklers' greed enabled the opioid epidemic.,62,5,enabled,
17,condition1,11,Turning off the life support caused the patient's death.,63,5,caused,
17,condition1,10,The striker deflecting the ball enabled the goal.,65,6,enabled,
16,condition1,1,The dry weather affected the wild fire.,1,5,affected,
16,condition1,2,The CEO's decision caused the outcome.,2,6,caused,
16,condition1,0,The collapse of Lehman Brothers caused the financial crisis.,3,6,caused,
16,condition1,3,The new technology enabled the change.,4,6,enabled,
16,condition1,7,The breaking of the dam enabled the flood.,6,0,enabled,
16,condition1,17,Erosion enabled density loss.,7,1,enabled,
16,condition1,2,The CEO's decision affected the outcome.,8,6,affected,
16,condition1,0,The collapse of Lehman Brothers affected the financial crisis.,9,5,affected,
16,condition1,19,The construction at the intersection affected the traffic in the vicinity.,10,6,affected,
16,condition1,7,The breaking of the dam caused the flood.,11,6,caused,
16,condition1,9,The new traffic signs caused the decrease in fatalities.,12,6,caused,
16,condition1,18,The algae buildup in the ocean caused the migration of certain species of fish.,13,6,caused,
16,condition1,15,Metastasis affected cell growth.,14,5,affected,
16,condition1,16,Diversification enabled new monetary policies.,16,6,enabled,
16,condition1,8,Janelle's working hard affected her success.,17,2,affected,
16,condition1,10,The striker deflecting the ball enabled the goal.,18,4,enabled,
16,condition1,13,The sun affected the drying of the clothes.,19,2,affected,
16,condition1,16,Diversification caused new monetary policies.,20,6,caused,
16,condition1,19,The construction at the intersection enabled the traffic in the vicinity.,21,1,enabled,
16,condition1,12,More stipends affected the increase in student admissions.,22,5,affected,
16,condition1,4,The zoning restrictions affected the housing shortage.,23,6,affected,
16,condition1,1,The dry weather enabled the wild fire.,24,2,enabled,
16,condition1,15,Metastasis caused cell growth.,26,6,caused,
16,condition1,16,Diversification affected new monetary policies.,27,6,affected,
16,condition1,8,Janelle's working hard enabled her success.,28,4,enabled,
16,condition1,4,The zoning restrictions caused the housing shortage.,29,6,caused,
16,condition1,5,The Sacklers' greed caused the opioid epidemic.,30,6,caused,
16,condition1,13,The sun enabled the drying of the clothes.,31,0,enabled,
16,condition1,14,Deforestation caused wildlife displacement.,32,6,caused,
16,condition1,13,The sun caused the drying of the clothes.,33,1,caused,
16,condition1,5,The Sacklers' greed enabled the opioid epidemic.,34,6,enabled,
16,condition1,3,The new technology caused the change.,35,6,caused,
16,condition1,6,The sunny weather caused the tree's growth.,36,6,caused,
16,condition1,15,Metastasis enabled cell growth.,37,6,enabled,
16,condition1,4,The zoning restrictions enabled the housing shortage.,38,3,enabled,
16,condition1,8,Janelle's working hard caused her success.,39,6,caused,
16,condition1,14,Deforestation affected wildlife displacement.,40,6,affected,
16,condition1,3,The new technology affected the change.,41,4,affected,
16,condition1,7,The breaking of the dam affected the flood.,43,2,affected,
16,condition1,6,The sunny weather enabled the tree's growth.,44,0,enabled,
16,condition1,1,The dry weather caused the wild fire.,45,6,caused,
16,condition1,10,The striker deflecting the ball caused the goal.,46,3,caused,
16,condition1,18,The algae buildup in the ocean enabled the migration of certain species of fish.,47,2,enabled,
16,condition1,12,More stipends caused the increase in student admissions.,48,6,caused,
16,condition1,14,Deforestation enabled wildlife displacement.,49,4,enabled,
16,condition1,5,The Sacklers' greed affected the opioid epidemic.,50,4,affected,
16,condition1,10,The striker deflecting the ball affected the goal.,51,0,affected,
16,condition1,2,The CEO's decision enabled the outcome.,52,2,enabled,
16,condition1,17,Erosion affected density loss.,53,6,affected,
16,condition1,12,More stipends enabled the increase in student admissions.,54,4,enabled,
16,condition1,18,The algae buildup in the ocean affected the migration of certain species of fish.,55,6,affected,
16,condition1,9,The new traffic signs enabled the decrease in fatalities.,57,2,enabled,
16,condition1,6,The sunny weather affected the tree's growth.,58,6,affected,
16,condition1,19,The construction at the intersection caused the traffic in the vicinity.,59,6,caused,
16,condition1,11,Turning off the life support affected the patient's death.,60,0,affected,
16,condition1,0,The collapse of Lehman Brothers enabled the financial crisis.,61,5,enabled,
16,condition1,11,Turning off the life support caused the patient's death.,62,6,caused,
16,condition1,9,The new traffic signs affected the decrease in fatalities.,63,3,affected,
16,condition1,17,Erosion caused density loss.,64,6,caused,
16,condition1,11,Turning off the life support enabled the patient's death.,65,0,enabled,
18,condition1,12,More stipends affected the increase in student admissions.,0,5,affected,
18,condition1,19,The construction at the intersection enabled the traffic in the vicinity.,1,3,enabled,
18,condition1,15,Metastasis enabled cell growth.,2,5,enabled,
18,condition1,12,More stipends enabled the increase in student admissions.,3,5,enabled,
18,condition1,10,The striker deflecting the ball affected the goal.,4,0,affected,
18,condition1,7,The breaking of the dam affected the flood.,5,0,affected,
18,condition1,8,Janelle's working hard affected her success.,6,6,affected,
18,condition1,0,The collapse of Lehman Brothers affected the financial crisis.,7,6,affected,
18,condition1,5,The Sacklers' greed enabled the opioid epidemic.,8,4,enabled,
18,condition1,19,The construction at the intersection caused the traffic in the vicinity.,9,6,caused,
18,condition1,8,Janelle's working hard caused her success.,11,6,caused,
18,condition1,2,The CEO's decision affected the outcome.,12,3,affected,
18,condition1,14,Deforestation caused wildlife displacement.,13,6,caused,
18,condition1,19,The construction at the intersection affected the traffic in the vicinity.,14,2,affected,
18,condition1,11,Turning off the life support affected the patient's death.,15,1,affected,
18,condition1,15,Metastasis affected cell growth.,16,2,affected,
18,condition1,10,The striker deflecting the ball enabled the goal.,17,1,enabled,
18,condition1,4,The zoning restrictions affected the housing shortage.,18,2,affected,
18,condition1,13,The sun caused the drying of the clothes.,19,6,caused,
18,condition1,16,Diversification enabled new monetary policies.,20,4,enabled,
18,condition1,16,Diversification caused new monetary policies.,22,5,caused,
18,condition1,3,The new technology affected the change.,23,4,affected,
18,condition1,9,The new traffic signs affected the decrease in fatalities.,24,4,affected,
18,condition1,1,The dry weather affected the wild fire.,25,5,affected,
18,condition1,3,The new technology enabled the change.,26,5,enabled,
18,condition1,14,Deforestation affected wildlife displacement.,27,4,affected,
18,condition1,16,Diversification affected new monetary policies.,28,3,affected,
18,condition1,2,The CEO's decision caused the outcome.,29,6,caused,
18,condition1,13,The sun affected the drying of the clothes.,30,3,affected,
18,condition1,4,The zoning restrictions caused the housing shortage.,31,6,caused,
18,condition1,11,Turning off the life support enabled the patient's death.,32,2,enabled,
18,condition1,18,The algae buildup in the ocean enabled the migration of certain species of fish.,33,6,enabled,
18,condition1,11,Turning off the life support caused the patient's death.,34,6,caused,
18,condition1,0,The collapse of Lehman Brothers caused the financial crisis.,35,6,caused,
18,condition1,17,Erosion enabled density loss.,36,5,enabled,
18,condition1,5,The Sacklers' greed affected the opioid epidemic.,37,3,affected,
18,condition1,4,The zoning restrictions enabled the housing shortage.,38,6,enabled,
18,condition1,9,The new traffic signs caused the decrease in fatalities.,39,6,caused,
18,condition1,18,The algae buildup in the ocean caused the migration of certain species of fish.,40,6,caused,
18,condition1,7,The breaking of the dam caused the flood.,41,6,caused,
18,condition1,10,The striker deflecting the ball caused the goal.,42,4,caused,
18,condition1,2,The CEO's decision enabled the outcome.,43,6,enabled,
18,condition1,13,The sun enabled the drying of the clothes.,44,4,enabled,
18,condition1,17,Erosion affected density loss.,46,5,affected,
18,condition1,6,The sunny weather caused the tree's growth.,48,6,caused,
18,condition1,1,The dry weather enabled the wild fire.,49,5,enabled,
18,condition1,17,Erosion caused density loss.,50,6,caused,
18,condition1,1,The dry weather caused the wild fire.,51,6,caused,
18,condition1,5,The Sacklers' greed caused the opioid epidemic.,52,6,caused,
18,condition1,15,Metastasis caused cell growth.,53,6,caused,
18,condition1,12,More stipends caused the increase in student admissions.,55,5,caused,
18,condition1,9,The new traffic signs enabled the decrease in fatalities.,56,3,enabled,
18,condition1,6,The sunny weather affected the tree's growth.,57,2,affected,
18,condition1,14,Deforestation enabled wildlife displacement.,58,5,enabled,
18,condition1,0,The collapse of Lehman Brothers enabled the financial crisis.,59,4,enabled,
18,condition1,3,The new technology caused the change.,61,6,caused,
18,condition1,7,The breaking of the dam enabled the flood.,62,1,enabled,
18,condition1,6,The sunny weather enabled the tree's growth.,63,0,enabled,
18,condition1,18,The algae buildup in the ocean affected the migration of certain species of fish.,64,6,affected,
18,condition1,8,Janelle's working hard enabled her success.,65,5,enabled,
14,condition1,16,Diversification enabled new monetary policies.,0,6,enabled,
14,condition1,9,The new traffic signs enabled the decrease in fatalities.,1,4,enabled,
14,condition1,16,Diversification caused new monetary policies.,2,4,caused,
14,condition1,5,The Sacklers' greed caused the opioid epidemic.,3,6,caused,
14,condition1,17,Erosion caused density loss.,4,6,caused,
14,condition1,9,The new traffic signs caused the decrease in fatalities.,5,6,caused,
14,condition1,12,More stipends enabled the increase in student admissions.,6,6,enabled,
14,condition1,6,The sunny weather caused the tree's growth.,8,6,caused,
14,condition1,7,The breaking of the dam affected the flood.,9,1,affected,
14,condition1,4,The zoning restrictions caused the housing shortage.,10,6,caused,
14,condition1,19,The construction at the intersection affected the traffic in the vicinity.,12,6,affected,
14,condition1,13,The sun caused the drying of the clothes.,13,6,caused,
14,condition1,2,The CEO's decision caused the outcome.,14,6,caused,
14,condition1,5,The Sacklers' greed enabled the opioid epidemic.,15,5,enabled,
14,condition1,10,The striker deflecting the ball caused the goal.,16,3,caused,
14,condition1,4,The zoning restrictions affected the housing shortage.,17,5,affected,
14,condition1,19,The construction at the intersection caused the traffic in the vicinity.,18,6,caused,
14,condition1,0,The collapse of Lehman Brothers affected the financial crisis.,19,1,affected,
14,condition1,14,Deforestation caused wildlife displacement.,20,6,caused,
14,condition1,18,The algae buildup in the ocean affected the migration of certain species of fish.,22,6,affected,
14,condition1,16,Diversification affected new monetary policies.,23,0,affected,
14,condition1,1,The dry weather caused the wild fire.,24,6,caused,
14,condition1,10,The striker deflecting the ball affected the goal.,25,3,affected,
14,condition1,15,Metastasis caused cell growth.,26,5,caused,
14,condition1,10,The striker deflecting the ball enabled the goal.,27,3,enabled,
14,condition1,18,The algae buildup in the ocean enabled the migration of certain species of fish.,28,5,enabled,
14,condition1,4,The zoning restrictions enabled the housing shortage.,29,4,enabled,
14,condition1,0,The collapse of Lehman Brothers caused the financial crisis.,30,6,caused,
14,condition1,14,Deforestation affected wildlife displacement.,31,4,affected,
14,condition1,19,The construction at the intersection enabled the traffic in the vicinity.,32,3,enabled,
14,condition1,5,The Sacklers' greed affected the opioid epidemic.,33,3,affected,
14,condition1,7,The breaking of the dam caused the flood.,34,6,caused,
14,condition1,17,Erosion enabled density loss.,35,4,enabled,
14,condition1,8,Janelle's working hard caused her success.,36,6,caused,
14,condition1,0,The collapse of Lehman Brothers enabled the financial crisis.,37,5,enabled,
14,condition1,2,The CEO's decision affected the outcome.,38,6,affected,
14,condition1,3,The new technology enabled the change.,39,6,enabled,
14,condition1,11,Turning off the life support caused the patient's death.,41,6,caused,
14,condition1,1,The dry weather enabled the wild fire.,42,4,enabled,
14,condition1,18,The algae buildup in the ocean caused the migration of certain species of fish.,43,6,caused,
14,condition1,15,Metastasis affected cell growth.,44,3,affected,
14,condition1,12,More stipends caused the increase in student admissions.,45,4,caused,
14,condition1,2,The CEO's decision enabled the outcome.,46,5,enabled,
14,condition1,8,Janelle's working hard enabled her success.,47,4,enabled,
14,condition1,1,The dry weather affected the wild fire.,48,5,affected,
14,condition1,15,Metastasis enabled cell growth.,49,4,enabled,
14,condition1,3,The new technology caused the change.,51,6,caused,
14,condition1,11,Turning off the life support affected the patient's death.,52,0,affected,
14,condition1,11,Turning off the life support enabled the patient's death.,53,5,enabled,
14,condition1,6,The sunny weather enabled the tree's growth.,55,6,enabled,
14,condition1,17,Erosion affected density loss.,56,6,affected,
14,condition1,13,The sun enabled the drying of the clothes.,57,6,enabled,
14,condition1,6,The sunny weather affected the tree's growth.,58,5,affected,
14,condition1,13,The sun affected the drying of the clothes.,59,3,affected,
14,condition1,8,Janelle's working hard affected her success.,60,5,affected,
14,condition1,9,The new traffic signs affected the decrease in fatalities.,61,2,affected,
14,condition1,12,More stipends affected the increase in student admissions.,62,3,affected,
14,condition1,7,The breaking of the dam enabled the flood.,63,4,enabled,
14,condition1,3,The new technology affected the change.,64,4,affected,
14,condition1,14,Deforestation enabled wildlife displacement.,65,5,enabled,
4,condition1,0,The collapse of Lehman Brothers affected the financial crisis.,0,0,affected,
4,condition1,6,The sunny weather affected the tree's growth.,1,6,affected,
4,condition1,14,Deforestation affected wildlife displacement.,2,6,affected,
4,condition1,18,The algae buildup in the ocean affected the migration of certain species of fish.,5,6,affected,
4,condition1,3,The new technology affected the change.,6,6,affected,
4,condition1,5,The Sacklers' greed affected the opioid epidemic.,7,6,affected,
4,condition1,19,The construction at the intersection enabled the traffic in the vicinity.,8,0,enabled,
4,condition1,9,The new traffic signs enabled the decrease in fatalities.,9,0,enabled,
4,condition1,2,The CEO's decision caused the outcome.,11,6,caused,
4,condition1,10,The striker deflecting the ball affected the goal.,12,6,affected,
4,condition1,3,The new technology caused the change.,13,6,caused,
4,condition1,15,Metastasis enabled cell growth.,14,6,enabled,
4,condition1,11,Turning off the life support enabled the patient's death.,15,0,enabled,
4,condition1,19,The construction at the intersection affected the traffic in the vicinity.,16,6,affected,
4,condition1,17,Erosion enabled density loss.,17,6,enabled,
4,condition1,15,Metastasis affected cell growth.,18,6,affected,
4,condition1,18,The algae buildup in the ocean enabled the migration of certain species of fish.,19,6,enabled,
4,condition1,7,The breaking of the dam caused the flood.,20,6,caused,
4,condition1,5,The Sacklers' greed caused the opioid epidemic.,22,6,caused,
4,condition1,17,Erosion caused density loss.,23,6,caused,
4,condition1,16,Diversification caused new monetary policies.,24,0,caused,
4,condition1,13,The sun caused the drying of the clothes.,25,6,caused,
4,condition1,11,Turning off the life support caused the patient's death.,27,6,caused,
4,condition1,0,The collapse of Lehman Brothers enabled the financial crisis.,28,0,enabled,
4,condition1,7,The breaking of the dam enabled the flood.,29,0,enabled,
4,condition1,9,The new traffic signs caused the decrease in fatalities.,30,6,caused,
4,condition1,16,Diversification affected new monetary policies.,31,6,affected,
4,condition1,12,More stipends affected the increase in student admissions.,32,0,affected,
4,condition1,3,The new technology enabled the change.,33,6,enabled,
4,condition1,1,The dry weather enabled the wild fire.,34,0,enabled,
4,condition1,2,The CEO's decision enabled the outcome.,35,6,enabled,
4,condition1,4,The zoning restrictions enabled the housing shortage.,36,0,enabled,
4,condition1,9,The new traffic signs affected the decrease in fatalities.,37,0,affected,
4,condition1,6,The sunny weather caused the tree's growth.,38,6,caused,
4,condition1,10,The striker deflecting the ball enabled the goal.,39,0,enabled,
4,condition1,8,Janelle's working hard enabled her success.,40,0,enabled,
4,condition1,10,The striker deflecting the ball caused the goal.,41,6,caused,
4,condition1,1,The dry weather caused the wild fire.,42,6,caused,
4,condition1,17,Erosion affected density loss.,44,0,affected,
4,condition1,4,The zoning restrictions caused the housing shortage.,45,0,caused,
4,condition1,15,Metastasis caused cell growth.,46,4,caused,
4,condition1,13,The sun enabled the drying of the clothes.,47,1,enabled,
4,condition1,6,The sunny weather enabled the tree's growth.,48,5,enabled,
4,condition1,4,The zoning restrictions affected the housing shortage.,49,1,affected,
4,condition1,13,The sun affected the drying of the clothes.,50,1,affected,
4,condition1,18,The algae buildup in the ocean caused the migration of certain species of fish.,51,5,caused,
4,condition1,8,Janelle's working hard caused her success.,52,5,caused,
4,condition1,16,Diversification enabled new monetary policies.,53,4,enabled,
4,condition1,14,Deforestation caused wildlife displacement.,54,2,caused,
4,condition1,7,The breaking of the dam affected the flood.,55,4,affected,
4,condition1,11,Turning off the life support affected the patient's death.,56,5,affected,
4,condition1,1,The dry weather affected the wild fire.,57,0,affected,
4,condition1,19,The construction at the intersection caused the traffic in the vicinity.,58,5,caused,
4,condition1,14,Deforestation enabled wildlife displacement.,59,4,enabled,
4,condition1,0,The collapse of Lehman Brothers caused the financial crisis.,60,6,caused,
4,condition1,5,The Sacklers' greed enabled the opioid epidemic.,61,2,enabled,
4,condition1,8,Janelle's working hard affected her success.,62,2,affected,
4,condition1,2,The CEO's decision affected the outcome.,63,4,affected,
4,condition1,12,More stipends enabled the increase in student admissions.,64,4,enabled,
